preset_number,name,chord,chord_notes
8,Trad Min,F: Fm,G#4 F4 C4 F2
8,Trad Min,F#: F#dim7,A4 D#4 C4 F#2
8,Trad Min,G: Gm,G4 D4 A#3 G2
8,Trad Min,G#: G#,G#4 D#4 C4 G#2
8,Trad Min,A: Am7b5,G4 D#4 C4 A2
8,Trad Min,A#: A#,A#4 F4 D4 A#2
8,Trad Min,B: Bdim7,G#4 F4 D4 B2
9,Trad Min 2,C: Cm,C5 G4 D#4 C3
9,Trad Min 2,C#: C#,G#4 F4 C#4 C#3
9,Trad Min 2,D: Ddim,G#4 F4 D4 D3
9,Trad Min 2,D#: D#aug,B4 G4 D#4 D#3
9,Trad Min 2,E: Em,B4 G4 E4 E3
9,Trad Min 2,F: Fm,G#4 F4 C4 F2
9,Trad Min 2,F#: F#dim7,A4 D#4 C4 F#2
9,Trad Min 2,G: G,G4 D4 B3 G2
9,Trad Min 2,G#: G#,C4 D#4 G#4 G#2
9,Trad Min 2,A: Am7b5,G4 D#4 C4 A2
9,Trad Min 2,A#: A#,A#4 F4 D4 A#2
9,Trad Min 2,B: Bdim,B4 F4 D4 B2
10,Pop Min,C: Cmadd9,G4 D#4 D4 C3
10,Pop Min,C#: C#M7,F4 C4 G#3 C#3
10,Pop Min,D: Dm7b5,G#4 F4 C4 D3
10,Pop Min,D#: D#M7,G4 D4 A#3 D#3
10,Pop Min,E: Edim7,G4 C#4 A#3 E3
10,Pop Min,F: Fm9,G4 D#4 G#3 F2
10,Pop Min,F#: F#dim7,D#4 C4 A3 F#2
10,Pop Min,G: Gm7,F4 D4 A#3 G2
10,Pop Min,G#: G#M7,G4 D#4 C4 G#2
10,Pop Min,A: Am7b5,G4 D#4 C4 A2
10,Pop Min,A#: G#/A#,D#4 C4 G#3 A#2
10,Pop Min,B: Bdim7,F4 D4 G#3 B2
11,Pop Min,C: Cmadd9,G4 D#4 D4 C3
11,Pop Min,C#: Gdim/C#,G4 D#4 A#3 C#3
11,Pop Min,D: Dm7b5,F4 C4 G#3 D3
11,Pop Min,D#: D#M7,G4 D4 A#3 D#3
11,Pop Min,E: EM9,F#4 D#4 G#3 E3
11,Pop Min,F: Fm9,G4 D#4 G#3 F2
11,Pop Min,F#: F#dim7,D#4 C4 A3 F#2
11,Pop Min,G: Gaug7,D#4 B3 F3 G2
11,Pop Min,G#: G#M7,G4 D#4 C4 G#2
11,Pop Min,A: Am7b5,G4 D#4 C4 A2
11,Pop Min,A#: Cm7/A#,G4 D#4 C4 A#2
11,Pop Min,B: Baug#9,G4 D#4 D4 B2
12,Jazz Min,C: Cm7(11),F4 D#4 A#3 C3
12,Jazz Min,C#: C#7#9,E4 B3 F3 C#3
12,Jazz Min,D: Dm7b5,G#4 F4 C4 D3
12,Jazz Min,D#: D#M7#5,G4 D4 B3 D#3
12,Jazz Min,E: E9,F#4 D4 G#3 E2
12,Jazz Min,F: F9,G4 D#4 A3 F2
12,Jazz Min,F#: F#dim7,D#4 C4 A3 F#2
12,Jazz Min,G: G7#9,A#4 F4 B3 G2
12,Jazz Min,G#: G#M7b5,G4 D4 C4 G#2
12,Jazz Min,A: Am7b5,G4 D#4 C4 A2
12,Jazz Min,A#: A#m7,F4 C#4 G#3 A#2
12,Jazz Min,B: Bdim7,F4 D4 G#3 B2
13,Jazz Min,C: Cm9,D4 A#3 D#3 C3
13,Jazz Min,C#: C#9,D#4 B3 F3 C#3
13,Jazz Min,D: Dm9,E4 C4 F3 D3
13,Jazz Min,D#: D#9,F4 C#4 G3 D#3
13,Jazz Min,E: EM9,F#4 D#4 G#3 E2
13,Jazz Min,F: Fm9,G4 D#4 G#3 F2
13,Jazz Min,F#: F#dim7,D#4 C4 A3 F#2
13,Jazz Min,G: G7(13),E4 B3 F3 G2
13,Jazz Min,G#: G#m6,F4 D#4 B3 G#2
13,Jazz Min,A: Am7b5,G4 D#4 C4 A2
13,Jazz Min,A#: A#m7,F4 C#4 G#3 A#2
13,Jazz Min,B: Bm7b5,F4 D4 A3 B2
14,Oct Stack,C: ,C5 C4
14,Oct Stack,C#: ,C#5 C#4
14,Oct Stack,D: ,D5 D4
14,Oct Stack,D#: ,D#5 D#4
14,Oct Stack,E: ,E5 E4
14,Oct Stack,F: ,F5 F4
14,Oct Stack,F#: ,F#5 F#4
14,Oct Stack,G: ,G5 G4
14,Oct Stack,G#: ,G#5 G#4
14,Oct Stack,A: ,A5 A4
14,Oct Stack,A#: ,A#5 A#4
14,Oct Stack,B: ,B5 B4
15,4th Stack,C: ,F4 C4
15,4th Stack,C#: ,F#4 C#4
15,4th Stack,D: ,G4 D4
15,4th Stack,D#: ,G#4 D#4
15,4th Stack,E: ,A4 E4
15,4th Stack,F: ,A#4 F4
15,4th Stack,F#: ,B4 F#4
15,4th Stack,G: ,C5 G4
15,4th Stack,G#: ,C#5 G#4
15,4th Stack,A: ,D5 A4
15,4th Stack,A#: ,D#5 A#4
15,4th Stack,B: ,E5 B4
16,5th Stack,C: ,G4 C4
16,5th Stack,C#: ,G#4 C#4
16,5th Stack,D: ,A4 D4
16,5th Stack,D#: ,A#4 D#4
16,5th Stack,E: ,B4 E4
16,5th Stack,F: ,C5 F4
16,5th Stack,F#: ,C#5 F#4
16,5th Stack,G: ,D5 G4
16,5th Stack,G#: ,D#5 G#4
16,5th Stack,A: ,E5 A4
16,5th Stack,A#: ,F5 A#4
16,5th Stack,B: ,F#5 B4
17,Utility,C: C,G3 E3 C3
17,Utility,C#: C#,G#3 F3 C#3
17,Utility,D: D,A3 F#3 D3
17,Utility,D#: D#,A#3 G3 D#3
17,Utility,E: E,B3 G#3 E3
17,Utility,F: F,C4 A3 F3
17,Utility,F#: F#,C#4 A#3 F#3
17,Utility,G: G,D4 B3 G3
17,Utility,G#: G#,D#4 C4 G#3
17,Utility,A: A,E4 C#4 A3
17,Utility,A#: A#,F4 D4 A#3
17,Utility,B: B,F#4 D#4 B3
18,Utility,C: Cm,G3 D#3 C3
18,Utility,C#: C#m,G#3 E3 C#3
18,Utility,D: Dm,A3 F3 D3
18,Utility,D#: D#m,A#3 F#3 D#3
18,Utility,E: E,B3 G3 E3
18,Utility,F: Fm,C4 G#3 F3
18,Utility,F#: F#m,C#4 A3 F#3
18,Utility,G: Gm,D4 A#3 G3
18,Utility,G#: G#m,D#4 B3 G#3
18,Utility,A: Am,E4 C4 A3
18,Utility,A#: A#m,F4 C#4 A#3
18,Utility,B: Bm,F#4 D4 B3
19,Utility,C: CM7,B3 G3 E3 C3
19,Utility,C#: C#M7,C4 G#3 F3 C#3
19,Utility,D: DM7,C#4 A3 F#3 D3
19,Utility,D#: D#M7,D4 A#3 G3 D#3
19,Utility,E: EM7,D#4 B3 G#3 E3
19,Utility,F: FM7,E4 C4 A3 F3
19,Utility,F#: F#FM7,F4 C#4 A#3 F#3
19,Utility,G: GM7,F#4 D4 B3 G3
19,Utility,G#: G#M7,G4 D#4 C4 G#3
19,Utility,A: AM7,G#4 E4 C#4 A3
19,Utility,A#: A#M7,A4 F4 D4 A#3
19,Utility,B: BM7,A#4 F#4 D#4 B3
20,Utility,C: Cm7,A#3 G3 D#3 C3
20,Utility,C#: C#m7,B3 G#3 E3 C#3
20,Utility,D: Dm7,C4 A3 F3 D3
20,Utility,D#: D#m7,C#4 A#3 F#3 D#3
20,Utility,E: Em7,D4 B3 G3 E3
20,Utility,F: Fm7,D#4 C4 G#3 F3
20,Utility,F#: F#m7,E4 C#4 A3 F#3
20,Utility,G: Gm7,F4 D4 A#3 G3
20,Utility,G#: G#m7,F#4 D#4 B3 G#3
20,Utility,A: Am7,G4 E4 C4 A3
20,Utility,A#: A#m7,G#4 F4 C#4 A#3
20,Utility,B: Bm7,A4 F#4 D4 B3
21,Utility,C: CM9,D4 B3 E3 C3
21,Utility,C#: C#M9,D#4 C4 F3 C#3
21,Utility,D: DM9,E4 C#4 F#3 D3
21,Utility,D#: D#M9,F4 D4 G3 D#3
21,Utility,E: EM9,F#4 D#4 G#3 E3
21,Utility,F: FM9,G4 E4 A3 F3
21,Utility,F#: F#M9,G#4 F4 A#3 F#3
21,Utility,G: GM9,A4 F#4 B3 G3
21,Utility,G#: G#M9,A#4 G4 C4 G#3
21,Utility,A: AM9,B4 G#4 C#4 A3
21,Utility,A#: A#M9,C5 A4 D4 A#3
21,Utility,B: BM9,C#5 A#4 D#4 B3
22,Utility,C: Cm9,D4 A#3 D#3 C3
22,Utility,C#: C#m9,D#4 B3 E3 C#3
22,Utility,D: Dm9,E4 C4 F3 D3
22,Utility,D#: D#m9,F4 C#4 F#3 D#3
22,Utility,E: Em9,F#4 D4 G3 E3
22,Utility,F: Fm9,G4 D#4 G#3 F3
22,Utility,F#: F#m9,G#4 E4 A3 F#3
22,Utility,G: Gm9,A4 F4 A#3 G3
22,Utility,G#: G#m9,A#4 F#4 B3 G#3
22,Utility,A: Am9,B4 G4 C4 A3
22,Utility,A#: A#m9,C5 G#4 C#4 A#3
22,Utility,B: Bm9,C#5 A4 D4 B3
23,Utility,C: CM9/#11,F#4 D4 B3 C3
23,Utility,C#: C#M9/#11,G4 D#4 C4 C#3
23,Utility,D: DM9/#11,G#4 E4 C#4 D3
23,Utility,D#: D#M9/#11,A4 F4 D4 D#3
23,Utility,E: EM9/#11,A#4 F#4 D#4 E3
23,Utility,F: FM9/#11,B4 G4 E4 F3
23,Utility,F#: F#M9/#11,C5 G#4 F4 F#3
23,Utility,G: GM9/#11,C#5 A4 F#4 G3
23,Utility,G#: G#M9/#11,D5 A#4 G4 G#3
23,Utility,A: AM9/#11,D#5 B4 G#4 A3
23,Utility,A#: A#M9/#11,E5 C5 A4 A#3
23,Utility,B: BM9/#11,F5 C#5 A#4 B3
24,Utility,C: Cm9/11,F4 D4 A#3 C3
24,Utility,C#: C#m9/11,F#4 D#4 B3 C#3
24,Utility,D: Dm9/11,G4 E4 C4 D3
24,Utility,D#: D#m9/11,G#4 F4 C#4 D#3
24,Utility,E: Em9/11,A4 F#4 D4 E3
24,Utility,F: Fm9/11,A#4 G4 D#4 F3
24,Utility,F#: F#m9/11,B4 G#4 E4 F#3
24,Utility,G: Gm9/11,C5 A4 F4 G3
24,Utility,G#: G#m9/11,C#5 A#4 F#4 G#3
24,Utility,A: Am9/11,D5 B4 G4 A3
24,Utility,A#: A#m9/11,D#5 C5 G#4 A#3
24,Utility,B: Bm9/11,E5 C#5 A4 B3
25,Utility,C: CM7,B3 G3 E3 C3
25,Utility,C#: CM7,C4 B3 G3 E3
25,Utility,D: CM7,E4 C4 B3 G3
25,Utility,D#: CM7,G4 E4 C4 B3
25,Utility,E: CM7,B4 G4 E4 C4
25,Utility,F: CM7,C5 B4 G4 E4
25,Utility,F#: CM7,B4 E4 G3 C3
25,Utility,G: CM7,C5 B4 E4 G3
25,Utility,G#: CM7,E5 B4 G4 C4
25,Utility,A: CM7,G5 C5 B4 E4
25,Utility,A#: CM7,B5 E5 C5 G4
25,Utility,B: CM7,C6 G5 E5 B4
26,Utility,C: Cm7,A#3 G3 D#3 C3
26,Utility,C#: Cm7/D#,C4 A#3 G3 D#3
26,Utility,D: Cm7/G,D#4 C4 A#3 G3
26,Utility,D#: Cm7/A#,G4 D#4 C4 A#3
26,Utility,E: Cm7,A#4 G4 D#4 C4
26,Utility,F: Cm7/D#,C5 A#4 G4 D#4
26,Utility,F#: Cm7,A#4 D#4 G3 C3
26,Utility,G: Cm7/G,C5 A#4 D#4 G3
26,Utility,G#: Cm7,D#5 A#4 G4 C4
26,Utility,A: Cm7/D#,G5 C5 A#4 D#4
26,Utility,A#: Cm7/G,A#5 D#5 C5 G4
26,Utility,B: Cm7/A#,C6 G5 D#5 A#4
27,Pop/Synth,C: C,E4 G3 C3
27,Pop/Synth,C#: Em,G4 B3 E3
27,Pop/Synth,D: G,B4 D4 G3
27,Pop/Synth,D#: Am,C5 E4 A3
27,Pop/Synth,E: Bm,D5 F#4 B3
27,Pop/Synth,F: C,E5 G4 C4
27,Pop/Synth,F#: Em,G5 B4 E4
27,Pop/Synth,G: G,B5 D5 G4
27,Pop/Synth,G#: Am,C6 E5 A4
27,Pop/Synth,A: Bm,D6 F#5 B4
27,Pop/Synth,A#: C,E6 G5 C5
27,Pop/Synth,B: Em,D7 B5 E5
28,Pop,C: C,C4 G3 E3 C3
28,Pop,C#: C7,A#3 G3 E3 C3
28,Pop,D: Dm7,C4 A3 F3 D3
28,Pop,D#: D#M7,A#3 G3 D3 D#2
28,Pop,E: C/E,C4 G3 E3 E2
28,Pop,F: F,C4 A3 F3 F2
28,Pop,F#: Fm,C4 G#3 F3 F2
28,Pop,G: G,B3 G3 D3 G2
28,Pop,G#: C/G,C4 G3 E3 G2
28,Pop,A: Am7,C4 G3 E3 A2
28,Pop,A#: Eaug/A#,C4 G#3 E3 A#2
28,Pop,B: G7/B,B3 G3 F3 B2
29,Pop,C: C,E4 C4 C3 C2
29,Pop,C#: FM7,E4 C4 F2 F1
29,Pop,D: G,D4 B3 G2 G1
29,Pop,D#: Em7,D4 G3 B2 E2
29,Pop,E: Dm7,C4 F3 A2 D2
29,Pop,F: CM7/E,C4 G3 B2 E2
29,Pop,F#: F,C4 A3 C3 F2
29,Pop,G: D7/G,D4 A3 C3 G2
29,Pop,G#: G,D4 B3 D3 G2
29,Pop,A: Am,E4 C4 E3 A2
29,Pop,A#: Dm,F4 A3 A2 D2
29,Pop,B: G7,G4 B3 F3 G2
30,Pop,C: Cm,D#4 G3 C3
30,Pop,C#: D#,G4 A#3 D#3
30,Pop,D: G#,C4 D#3 G#2
30,Pop,D#: A#,D4 F3 A#2
30,Pop,E: Gm,G4 D4 A#3 G3
30,Pop,F: G#,G#4 D#4 C4 G#3
30,Pop,F#: D#,G4 D#4 A#3 D#3
30,Pop,G: A#sus4/D,F4 D#4 A#3 D3
30,Pop,G#: Cm,D#4 C4 G3 C3
30,Pop,A: G/B,D4 B3 G3 B2
30,Pop,A#: G#,C4 G#3 D#3 G#2
30,Pop,B: F/A,C4 A3 F3 A2
31,Pop,C: Cadd11,C5 F4 E4 C3
31,Pop,C#: Bb/C,F4 D4 A#3 C3
31,Pop,D: Dm7,F4 C4 A3 D3
31,Pop,D#: D7,F#4 C4 A3 D3
31,Pop,E: Cadd9/E,G4 D4 C4 E3
31,Pop,F: FM7,A4 E4 C4 F3
31,Pop,F#: F7,A4 D#4 C4 F3
31,Pop,G: Gm7,A#4 F4 D4 G3
31,Pop,G#: A/G,A4 E4 C#4 G3
31,Pop,A: FM7/A,C5 F4 E4 A3
31,Pop,A#: F/Bb,A4 F4 C4 A#3
31,Pop,B: G7/B,G4 F4 D4 B3
32,Pop,C: Cmb13,D#4 G#3 G3 C3
32,Pop,C#: D#M7,G4 D4 A#3 D#3
32,Pop,D: G7/D,F4 B3 G3 D3
32,Pop,D#: A#/D#,F4 D4 A#3 D#3
32,Pop,E: C7,E4 A#3 G3 C3
32,Pop,F: Fm7,G#4 D#4 C4 F3
32,Pop,F#: D#,G4 D#4 A#3 D#3
32,Pop,G: Gm7,F4 D4 A#3 G3
32,Pop,G#: G#M9,G4 C4 A#3 G#3
32,Pop,A: G#m6,F4 D#3 B3 G#3
32,Pop,A#: F7/A,F4 D#4 C3 A3
32,Pop,B: A#add11,A#4 D#4 D4 A#3
33,Cinematic,C: CM7,B3 G3 E3 C3
33,Cinematic,C#: F/E,C4 A3 F3 E3
33,Cinematic,D: A#M7,D4 A3 F3 A#2
33,Cinematic,D#: G,D4 B3 G3 G2
33,Cinematic,E: Dm7,F4 C4 F3 D3
33,Cinematic,F: C,E4 C4 G3 C3
33,Cinematic,F#: A#M7,F4 D4 A3 A#2
33,Cinematic,G: G,G4 D4 B3 G2
33,Cinematic,G#: C,E4 C4 G3 C3
33,Cinematic,A: A/C#,E4 C#4 A3 C#3
33,Cinematic,A#: Dm,F4 D4 A3 D3
33,Cinematic,B: G/F,G4 D4 B3 F3
34,Cinematic/Synthwave,C: Csus2,D4 G3 D3 C3
34,Cinematic/Synthwave,C#: Dsus2,E4 A3 E3 D3
34,Cinematic/Synthwave,D: D#sus2,F4 A#3 F3 D#3
34,Cinematic/Synthwave,D#: Fsus2,G4 C4 G3 F3
34,Cinematic/Synthwave,E: Gsus2,A4 D4 A3 G3
34,Cinematic/Synthwave,F: A#sus2,C5 F4 C4 A#3
34,Cinematic/Synthwave,F#: Csus2,D5 G4 D4 C4
34,Cinematic/Synthwave,G: Dsus2,E5 A4 E4 D4
34,Cinematic/Synthwave,G#: D#sus2,F5 A#4 F4 D#4
34,Cinematic/Synthwave,A: Fsus2,G5 C5 G4 F4
34,Cinematic/Synthwave,A#: Gsus2,A5 D5 A4 G4
34,Cinematic/Synthwave,B: A#sus2,C6 F5 C5 A#4
35,Cinematic/House,C: CM7,B4 E4 G3 C3
35,Cinematic/House,C#: Am7,G4 C4 E3 A2
35,Cinematic/House,D: DM7,C#5 F#4 A3 D3
35,Cinematic/House,D#: Bm7,A4 D4 F#3 B2
35,Cinematic/House,E: EM7,D#5 G#4 B3 E3
35,Cinematic/House,F: C#m7,B4 E4 G#3 C#3
35,Cinematic/House,F#: F#M7,F5 A#4 C#4 F#3
35,Cinematic/House,G: D#m7,C#5 F#4 A#3 D#3
35,Cinematic/House,G#: G#M7,G5 C5 D#4 G#3
35,Cinematic/House,A: Fm7,D#5 G#4 C4 F3
35,Cinematic/House,A#: A#M7,A5 D5 F4 A#3
35,Cinematic/House,B: Gm7,F5 A#4 D4 G3
36,Cinematic,C: Ebsus2/C,Eb4 Bb3 F3 C3
36,Cinematic,C#: Fsus2/D,F4 C4 G3 D3
36,Cinematic,D: Gsus2/E,G4 D4 A3 E3
36,Cinematic,D#: Absus2/F,Ab4 Eb4 Bb3 F3
36,Cinematic,E: Bbsus2/G,Bb4 F4 C4 G3
36,Cinematic,F: Csus2/A,C5 G4 D4 A3
36,Cinematic,F#: Dsus2/B,D5 A4 E4 B3
36,Cinematic,G: Ebsus2/C,Eb5 Bb4 F4 C4
36,Cinematic,G#: Fsus2/D,F5 C5 G4 D4
36,Cinematic,A: Gsus2/E,G5 D5 A4 E4
36,Cinematic,A#: Absus2/F,Ab5 Eb5 Bb4 F4
36,Cinematic,B: Bbsus2/G,Bb5 F5 C5 G4
37,Cinematic,C: C6sus2,A4 D4 G3 C3
37,Cinematic,C#: Dsus2,A4 E4 A3 D3
37,Cinematic,D: Emadd11,A4 G4 B3 E3
37,Cinematic,D#: Dadd9/F#,A4 E4 D4 F#3
37,Cinematic,E: Gadd9,B4 A4 D4 G3
37,Cinematic,F: Am7/11,D5 G4 C4 A3
37,Cinematic,F#: Bm7,D5 A4 F#4 B3
37,Cinematic,G: C6,E5 A4 G4 C4
37,Cinematic,G#: D6,F#5 B4 A4 D4
37,Cinematic,A: Emadd9,F#5 B4 G4 E4
37,Cinematic,A#: E7sus4,A5 D5 B4 E4
37,Cinematic,B: Em7b5/F,G5 E5 D5 F4
38,New Age/Cinematic,C: C,E4 C4 G3 C3
38,New Age/Cinematic,C#: Gsus4,G4 D4 C4 G3
38,New Age/Cinematic,D: G7sus4,F4 D4 C4 G3
38,New Age/Cinematic,D#: A#/D#,F4 D4 A#3 D#3
38,New Age/Cinematic,E: C/E,E4 C4 G3 E3
38,New Age/Cinematic,F: Gsus4/F,D4 C4 G3 F3
38,New Age/Cinematic,F#: D/F#,F#4 D4 A3 F#3
38,New Age/Cinematic,G: C/G,E4 C4 G3 G2
38,New Age/Cinematic,G#: E/G#,E4 B3 G#3 G#2
38,New Age/Cinematic,A: Am,E4 C4 A3 A2
38,New Age/Cinematic,A#: Fsus4,F4 C4 A#3 F3
38,New Age/Cinematic,B: G,G4 D4 B3 B2
39,Synthwave,C: C6sus4,A3 G3 F3 C3
39,Synthwave,C#: Gmadd9/D,A#3 A3 G3 D3
39,Synthwave,D: Edim11,A#3 A3 G3 E3
39,Synthwave,D#: Fsus2/D,C4 G3 F3 D3
39,Synthwave,E: BbM7,D4 A#3 A3 F3
39,Synthwave,F: Gmadd9,D4 A#3 A3 G3
39,Synthwave,F#: Am/G,E4 C4 A3 G3
39,Synthwave,G: C7/G,E4 C4 A#3 G3
39,Synthwave,G#: A#M7,F4 D4 A#3 A3
39,Synthwave,A: Gm/A,G4 D4 A#3 A3
39,Synthwave,A#: C7/A#,G4 E4 C4 A#3
39,Synthwave,B: A#m6,G4 F4 C#4 A#3
40,Synthwave,C: Cadd9,G3 E3 D3 C3
40,Synthwave,C#: Dadd9,A3 F#3 E3 D3
40,Synthwave,D: D#add9,A#3 G3 F3 D#3
40,Synthwave,D#: Fadd9,C4 A3 G3 F3
40,Synthwave,E: Gadd9,D4 B3 A3 G3
40,Synthwave,F: G#add9,D#4 C4 A#3 G#3
40,Synthwave,F#: A#add9,F4 D4 C4 A#3
40,Synthwave,G: Cadd9,G4 E4 D4 C4
40,Synthwave,G#: Dadd9,A4 F#4 E4 D4
40,Synthwave,A: D#add9,A#4 G4 F4 D#4
40,Synthwave,A#: Fadd9,C5 A4 G4 F4
40,Synthwave,B: Gadd9,D5 B4 A4 G4
41,Synthwave,C: C,C4 G3 E3 C2
41,Synthwave,C#: C#dim7,A#3 G3 E3 C#2
41,Synthwave,D: Fsus2/D,C4 G3 F3 D2
41,Synthwave,D#: D#add9,A#3 G3 F3 D#2
41,Synthwave,E: Csus2/E,C4 G3 D3 E2
41,Synthwave,F: FM7,C4 A3 E3 F2
41,Synthwave,F#: F#dim,C4 A3 F#3 F#2
41,Synthwave,G: Gsus4,C4 G3 D3 G2
41,Synthwave,G#: G#6,C4 G#3 F3 G#2
41,Synthwave,A: Csus2/A,C4 G3 D3 A2
41,Synthwave,A#: Csus2/A#,C4 G3 D3 A#2
41,Synthwave,B: G7/B,B3 G3 F3 B2
42,Synthwave,C: C,C5 E4 G3 C3
42,Synthwave,C#: A#sus2/D#,C5 F4 A#3 D#3
42,Synthwave,D: A#7/G#,A#4 F4 G#3 G#2
42,Synthwave,D#: G/B,B4 D4 G3 B2
42,Synthwave,E: C,C5 E4 G3 C3
42,Synthwave,F: Fm,C5 F4 G#3 F2
42,Synthwave,F#: F#dim7,C5 D#4 A3 F#2
42,Synthwave,G: C,C5 E4 G3 G2
42,Synthwave,G#: G#add9,C5 D#4 A#3 G#2
42,Synthwave,A: F/A,C5 F4 A3 A2
42,Synthwave,A#: A#,D5 F4 A#3 A#2
42,Synthwave,B: G7/B,D5 F4 G3 B2
43,Synthwave,C: Cm7,G4 D#4 A#3 C3
43,Synthwave,C#: A#/C,F4 D4 A#3 C3
43,Synthwave,D: D#/G#,G4 D#4 A#3 G#2
43,Synthwave,D#: A#/G#,F4 D4 A#3 G#2
43,Synthwave,E: D#/F,G4 D#4 A#3 F3
43,Synthwave,F: A#/F,F3 D4 A#3 F3
43,Synthwave,F#: G#add9,D#4 C4 A#3 G#2
43,Synthwave,G: A#,F4 D4 A#3 A#2
